IIIM_Fem_fitness	YM_fem_fitness	traD_fem_fitness	IIIM_male_fitness	YM_male_fitness	f1_fit	f2_fit	f3_fit	f4_fit	f5_fit	f6_fit	f7_fit	f8_fit	f9_fit	f10_fit	m1_fit	m2_fit	m3_fit	m4_fit	m5_fit	m6_fit	m7_fit	m8_fit	IIIM_fem_h	YM_fem_h	IIIM_male_h	YM_male_h	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	m1	m2	m3	m4	m5	m6	m7	m8	X_freq	Y_freq	III_freq	IIIM_freq	tra_freq	traD_freq	female	male	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	m1	m2	m3	m4	m5	m6	m7	m8
0.9898029671615445	0.5827750675601515	0.3635545206542865	-0.6795867414919146	0.17914797395650228	0.002707729502828351	0.004254456337111521	0.4172249324398485	0.4172249324398485	0.010197032838455522	1.0	1.0	0.010197032838455522	1.0	1.0	0.2630118724175609	0.2630118724175609	1.0	0.32041325850808544	0.32041325850808544	1.0	0.32041325850808544	0.32041325850808544	0	0	1	0	0.005824360858437156	0.0057372034898711	0.011861502553847469	0.004360603835734519	0.04970965290201211	0.08951021456943305	0.02653053803035921	0.10760050881880942	0.16449278164420728	0.011784990164150943	0.04017077339670051	0.004360603835734519	0.04974167841560035	0.089519985595026	0.02653053803035921	0.10760050881880942	0.16449278164420728	0.04017077339670051	0.23808635174172016	0.7619136482582798	0.6062379330052502	0.3937620669947498	0.7642060019957873	0.23579399800421275	0.4774123568668621	0.5225876431331379	61	61	76	61	61	92	76	92	92	76	61	61	61	92	76	92	92	61
0.16415929028094478	-0.2684961747859145	0.49982361738122405	-0.6080448829282932	-0.14298626437436623	0.41806778263278743	0.8358407097190552	1.0	1.0	0.611420676429145	0.7315038252140855	0.7315038252140855	0.611420676429145	0.7315038252140855	0.7315038252140855	0.45734986591034427	0.45734986591034427	1.0	0.39195511707170677	0.39195511707170677	1.0	0.39195511707170677	0.39195511707170677	0	1	1	1	0.006676002996656745	0.0057315521553477425	7.006629965046274e-48	1.5461214823594507e-93	0.09518158557145893	1.201432808712819e-46	2.7565430913631154e-92	0.3945379654426217	5.141887197315364e-46	7.279553347038191e-48	1.2253222670413846e-91	1.5461214823594507e-93	0.10333492839129305	1.2270272164637771e-46	2.7565430913631154e-92	0.3945379654426217	5.141887197315364e-46	1.2253222670413846e-91	0.11166581213338049	0.8883341878666196	1.0	0.0	0.7522744484152857	0.24772555158471432	0.5021271061660851	0.49787289383391486	749	749	92	45	0	108	45	0	124	92	61	45	0	108	45	0	124	61
0.466600737946556	-0.36541085991299593	0.7810893523183036	-0.9747947529936107	0.6197760192821768	0.11676677792905835	0.533399262053444	1.0	1.0	0.3384893790295376	0.6345891400870041	0.6345891400870041	0.3384893790295376	0.6345891400870041	0.6345891400870041	0.009583639351745322	0.009583639351745322	1.0	0.025205247006389264	0.025205247006389264	1.0	0.025205247006389264	0.025205247006389264	0	1	1	0	0.0005479981363169195	0.0005358320736281472	1.603028274154153e-14	6.209198556958865e-27	0.03166481129018278	9.49554231368027e-13	3.7030394172506e-25	0.4676098627950696	1.405704834491728e-11	1.603505781270272e-14	5.517654724297413e-24	6.209198556958865e-27	0.03203163287968741	9.497001465026672e-13	3.7030394172506e-25	0.4676098627950696	1.405704834491728e-11	5.517654724297413e-24	0.03293205229584582	0.9670679477041542	0.9999999999849692	1.5030754418887682e-11	0.7500947469130405	0.24990525308695954	0.5003585043102362	0.4996414956897638	499	499	124	14	0	249	30	0	374	124	30	14	0	249	30	0	374	30
0.3988409576355696	0.2488772006167188	-0.2764802054472191	0.49130094445413874	0.6476953560899208	0.6240938619439571	0.4515442627753435	0.7511227993832812	0.7511227993832812	0.6011590423644304	1.0	1.0	0.6011590423644304	1.0	1.0	0.3523046439100792	0.3523046439100792	0.5086990555458613	1.0	1.0	0.5086990555458613	1.0	1.0	0	0	0	0	0.00696579328800356	0.005406032021346601	0.02888670685121103	0.03836410459507565	0.01922758491994558	0.09572858992382086	0.12010066168317549	0.01706469363488311	0.07961390141276914	0.03111769451847653	0.09024967679226037	0.03836410459507565	0.021087403911958555	0.10079411832890983	0.12010066168317549	0.01706469363488311	0.07961390141276914	0.09024967679226037	0.4467559283684658	0.5532440716315342	0.32425964877189073	0.6757403512281093	0.7822450152196481	0.21775498478035193	0.4424757628487075	0.5575242371512925	61	61	92	92	92	92	124	92	124	61	92	92	92	92	124	92	124	92
0.5196746830547025	-0.9473802220653718	-0.40100883831864675	-0.07487359331647037	0.5012306850451518	0.8018904913338558	0.4803253169452975	1.0	1.0	0.02527461151404148	0.05261977793462824	0.05261977793462824	0.02527461151404148	0.05261977793462824	0.05261977793462824	0.4614246641081844	0.4614246641081844	1.0	0.9251264066835296	0.9251264066835296	1.0	0.9251264066835296	0.9251264066835296	0	1	1	0	0.5	7.542129325216293e-134	3.210530929376544e-134	8.832141301068105e-265	1.1843692388954596e-133	9.051771506082482e-133	2.4996848769090477e-263	4.301563063738302e-134	8.73071841314483e-133	1.378705970056516e-131	2.6615369375028575e-263	8.832141301068105e-265	0.5	1.6147547890086514e-131	2.4996848769090477e-263	4.301563063738302e-134	8.73071841314483e-133	2.6615369375028575e-263	0.75	0.25	1.0	0.0	1.0	0.0	0.5	0.5	53	41	37	30	41	45	30	37	45	53	30	30	53	53	30	37	45	30
-0.9182937281138306	-0.6371830191617875	0.8098979888285329	0.01865466620203793	0.2497841875921072	0.19010201117146708	1.0	0.08170627188616941	0.08170627188616941	0.36281698083821246	0.029644422881286103	0.029644422881286103	0.36281698083821246	0.029644422881286103	0.029644422881286103	0.7502158124078928	0.7502158124078928	0.9813453337979621	1.0	1.0	0.9813453337979621	1.0	1.0	1	1	0	0	0.16704675829113919	0.12031362628798727	9.189922060017896e-124	4.739278656297695e-247	0.2381173711874022	1.9238123369249362e-123	1.3250768011066214e-246	0.08240224389998695	7.310062379127574e-124	1.2499609024930428e-123	9.075835696395542e-247	4.739278656297695e-247	0.30971775643349747	2.4521130312526568e-123	1.3250768011066214e-246	0.08240224389998695	7.310062379127574e-124	9.075835696395542e-247	0.5612779483895762	0.43872205161042377	1.0	0.0	0.7795833793123118	0.2204166206876882	0.6078799996665156	0.3921200003334844	61	61	37	14	30	37	14	61	37	37	14	14	45	37	14	61	37	14
-0.04036241408060515	-0.7287953244502388	0.5922943383987835	-0.42962212933251864	0.39747120133790803	0.40770566160121646	1.0	0.9596375859193949	0.9596375859193949	0.27120467554976124	0.2602582001346256	0.2602582001346256	0.27120467554976124	0.2602582001346256	0.2602582001346256	0.3436690931967196	0.3436690931967196	1.0	0.5703778706674814	0.5703778706674814	1.0	0.5703778706674814	0.5703778706674814	1	1	1	0	0.3286212243528215	0.10147263514333774	1.1349493558949449e-58	2.74652367654163e-116	0.1344525182785723	2.411016193609852e-58	7.565095319726098e-116	0.023309417084230857	1.117577192797392e-58	1.9392830611393635e-58	5.0682171768988126e-116	2.74652367654163e-116	0.3888347880568068	3.701100073900018e-58	7.565095319726098e-116	0.023309417084230857	1.117577192797392e-58	5.0682171768988126e-116	0.6917375126638488	0.30826248733615125	1.0	0.0	0.8703827147469296	0.12961728525307037	0.5878557948589623	0.41214420514103767	92	92	76	45	92	92	45	92	76	92	45	45	92	92	45	92	76	45
0.9857254291226212	0.05782801767341872	-0.3531226303794064	-0.580428410785202	0.11987096792449914	0.02079080421114354	0.013449100740401291	0.9421719823265813	0.9421719823265813	0.014274570877378823	1.0	1.0	0.014274570877378823	1.0	1.0	0.3692771367019998	0.3692771367019998	1.0	0.419571589214798	0.419571589214798	1.0	0.419571589214798	0.419571589214798	0	0	1	0	0.010744000161130056	0.009644313025685582	0.03916957369177936	0.03605711479415236	0.03263209931850671	0.11784469128694988	0.09221375334390138	0.027298251634419405	0.08600973687533653	0.03828499248022935	0.05885566853851925	0.03605711479415236	0.032798959372937996	0.11801232029012304	0.09221375334390138	0.027298251634419405	0.08600973687533653	0.05885566853851925	0.43338557348357926	0.5666144265164208	0.3933667389261216	0.6066332610738784	0.7604227367745198	0.23957726322548023	0.48989852661209077	0.5101014733879092	61	61	124	186	124	124	186	186	186	124	124	186	124	124	186	186	186	124
0.32803470288848446	-0.05496756513560275	0.37294378401558714	-0.737174649333858	-0.2866267587014921	0.42136001647958865	0.6719652971115155	1.0	1.0	0.6350290008736736	0.9450324348643973	0.9450324348643973	0.6350290008736736	0.9450324348643973	0.9450324348643973	0.36842614139512403	0.36842614139512403	1.0	0.262825350666142	0.262825350666142	1.0	0.262825350666142	0.262825350666142	0	1	1	1	9.446359301062308e-05	9.275414022849533e-05	3.6557980583261836e-33	1.8281227168105264e-62	0.013433826286074016	5.302613831586379e-31	2.662410021809303e-60	0.4864105001933143	1.9227990142610197e-29	3.6658443452136875e-33	9.693192837194861e-59	1.8281227168105264e-62	0.013557955594058297	5.309976039048544e-31	2.662410021809303e-60	0.4864105001933143	1.9227990142610197e-29	9.693192837194861e-59	0.013683108673305275	0.9863168913266948	1.0	0.0	0.7500314596901916	0.24996854030980842	0.5000315442126274	0.4999684557873726	499	499	92	30	0	124	45	0	155	92	61	30	0	124	45	0	155	61
-0.2995337290988085	0.24922982438261165	0.3029102064965874	0.8279319237680023	0.394236698208134	0.523354226689646	0.7507701756173883	0.5258891852185447	0.5258891852185447	1.0	0.7004662709011915	0.7004662709011915	1.0	0.7004662709011915	0.7004662709011915	0.605763301791866	0.605763301791866	0.1720680762319977	1.0	1.0	0.1720680762319977	1.0	1.0	1	0	0	0	0.012180866110616027	0.009196941773024913	0.03352223815736369	0.029657455975734374	0.030595189876163702	0.10933105909349891	0.09212706319230093	0.025233164925598205	0.08958077667250246	0.037862893744511	0.07117606917019646	0.029657455975734374	0.03412859011978698	0.11763316125236982	0.09212706319230093	0.025233164925598205	0.08958077667250246	0.07117606917019646	0.42336209052588064	0.5766379094741194	0.39197995824000503	0.608020041759995	0.771446608294651	0.22855339170534905	0.4692876495213143	0.5307123504786857	61	61	61	92	92	61	92	92	92	61	61	92	92	61	92	92	92	61
